Source_Database	MEGARes_Header	Source_Headers(space_separated)
Resfinder	MLS|ermX_4_NC_005206|MLS|23S_rRNA_methyltransferases|ERMX	erm(X)_4_NC_005206
CARD	Bla|AF231133.1|gene3|betalactams|Class_D_betalactamases|OXA	@phgb|AF231133|1345-2146|ARO:3001423|OXA-28 [Pseudomonas aeruginosa]
NCBI	Bla|AF231133.1|gene3|betalactams|Class_D_betalactamases|OXA	gi|311629587|gb|FJ207466.2|2205-3006 gi|211908033|gb|FJ374756.1|1337-2138 gi|695199682|ref|NG_035290.1|1346-2147
ARG-ANNOT	859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	(AGly)Aac2-Ib:U41471:266-822:588
CARD	859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	@phgb|U41471|264-852|ARO:3002524|AAC(2')-Ib [Mycobacterium fortuitum]
NCBI	859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	gi|725869003|gb|CP009914.1|383052-382465 gi|1244711|gb|U41471.1|MFU41471|265-852 gi|672354214|gb|CP009110.1|1554824-1554851
Resfinder	859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	aac(2')-Ib_1_U41471
NCBI	Sul|NC_007793.3915320|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|941146344|gb|CP007676.1|516912-517715 gi|941142962|gb|CP007672.1|541645-542448 gi|941139768|gb|CP007657.1|542121-542924 gi|899756207|gb|CP012119.1|1376783-1375980 gi|899750970|gb|CP012120.1|396378-395575 gi|828461663|gb|CP007674.1|525195-525998 gi|828444881|gb|CP007670.1|554935-555738 gi|827440804|gb|CP011526.1|497861-498664 gi|777225872|emb|LN831048.1|36428-37231 gi|743649775|gb|CP010300.1|551994-552797
CARD	CARD|pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOC|RequiresSNPConfirmation	@pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus aureus rpoC conferring resistance to daptomycin [Staphylococcus aureus subsp. aureus MRSA252]
NCBI	CARD|pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOC|RequiresSNPConfirmation	gi|701162461|emb|LN626917.1|541120-544744 gi|532126991|gb|CP002388.1|487315-490939 gi|49240382|emb|BX571856.1|594519-598143
NCBI	1531|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA	gi|970698093|gb|KT988018.1|14750-15949 gi|974751143|gb|KU238092.1|6779-5580 gi|975048878|gb|CP013962.1|2246546-2247745 gi|973710347|gb|CP013833.1|73946-75145 gi|966626646|gb|CP013657.1|127298-126099 gi|959153704|gb|CP012993.1|50346-49147 gi|959147947|gb|CP012988.1|42873-44072 gi|952556149|emb|LN879484.1|75404-74205 gi|944397480|gb|CP013024.1|63015-64214 gi|933686806|gb|KT779550.1|83580-84779
Resfinder	1531|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA	tet(A)_4_AJ517790
NCBI	Gly|VanW-G_1_AY271782|Glycopeptides|VanG-type_accessory_protein|VANWG	gi|33355827|gb|AY271782.1|20202-21047
Resfinder	Gly|VanW-G_1_AY271782|Glycopeptides|VanG-type_accessory_protein|VANWG	VanW-G_1_AY271782
CARD	Bla|PAO2_FJ666065|betalactams|Class_C_betalactamases|PDC	@phgb|FJ666065|0-1194|ARO:3002497|PDC-1 [Pseudomonas aeruginosa PAO1]
Lahey	Bla|PAO2_FJ666065|betalactams|Class_C_betalactamases|PDC	ACQ82807.1 FJ666065.1:1-1194
NCBI	Bla|PAO2_FJ666065|betalactams|Class_C_betalactamases|PDC	gi|926451317|emb|LN871187.1|921807-920614 gi|553895034|gb|CP006832.1|4594024-4595217 gi|553886202|gb|CP006831.1|4595109-4596302 gi|543879514|gb|CP006705.1|4373612-4374805 gi|229597519|gb|FJ666065.1|1-1194 gi|110227054|gb|AE004091.2|4594029-4595222 gi|45272|emb|X54719.1|554-1741
Resfinder	Bla|PAO2_FJ666065|betalactams|Class_C_betalactamases|PDC	blaPAO_2_FJ666065
CARD	CARD|phgb|AL009126|1376854-1377172|ARO:3003064|ykkD|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKD	@phgb|AL009126|1376854-1377172|ARO:3003064|ykkD [Bacillus subtilis subsp. subtilis str. 168]
NCBI	CARD|phgb|AL009126|1376854-1377172|ARO:3003064|ykkD|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKD	gi|983204966|gb|CP014166.1|1356122-1356440 gi|807072327|gb|CP011115.1|1376858-1377176 gi|749183975|gb|CP010314.1|1356347-1356665 gi|728887195|gb|CP010053.1|1376617-1376935 gi|728882887|gb|CP010052.1|1376867-1377185 gi|724425628|emb|LN680001.1|1376832-1377150 gi|723796434|emb|LN649259.1|1376829-1377147 gi|649013680|gb|CP008698.1|1360406-1360724 gi|649009321|gb|CP007800.1|1360406-1360724 gi|558566549|gb|CP006881.1|1339892-1340210
ARG-ANNOT	gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-96:AJ704396:1-876:876
CARD	gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX	@phgb|AJ704396|0-876|ARO:3001956|CTX-M-96 [Klebsiella pneumoniae]
Lahey	gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX	CAG28417.1 AJ704396.1:1-876
NCBI	gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX	gi|940376853|gb|KR811026.1|1-876 gi|47109375|emb|AJ704396.1|1-876
Resfinder	gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX	blaCTX-M-96_1_AJ704396
ARG-ANNOT	Flq|OqxA|EU370913|46652-47827|1176|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXA	(Flq)OqxA:EU370913:46652-47827:1176
NCBI	Flq|OqxA|EU370913|46652-47827|1176|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXA	gi|975048878|gb|CP013962.1|236090-234915 gi|971338783|gb|CP006659.2|4169699-4170874 gi|961494526|gb|KT282968.1|26774-25599 gi|937637492|gb|KT334335.1|77543-76368 gi|928083869|gb|CP012682.1|121379-122554 gi|902619892|gb|CP011989.1|1231983-1230808 gi|902613520|gb|CP011985.1|1233197-1232022 gi|902606058|gb|CP011976.1|1202399-1201224 gi|902598956|gb|CP011980.1|1212921-1211746 gi|820773184|gb|KM877269.1|77553-76378
Resfinder	Flq|OqxA|EU370913|46652-47827|1176|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXA	oqxA_1_EU370913
CARD	CARD|phgb|EF540343|1059-1440|ARO:3000160|blaI|betalactams|Penicillin_binding_protein_regulator|BLAI	@phgb|EF540343|1059-1440|ARO:3000160|blaI [Bacillus clausii]
NCBI	CARD|phgb|EF540343|1059-1440|ARO:3000160|blaI|betalactams|Penicillin_binding_protein_regulator|BLAI	gi|922061703|gb|CP012475.1|1750870-1751251 gi|155793482|gb|EF540343.1|1060-1441
CARD	Bla|OXA-333_1_KF203107|betalactams|Class_D_betalactamases|OXA	@phgb|KF203107|0-825|ARO:3001521|OXA-333 [Acinetobacter johnsonii]
Lahey	Bla|OXA-333_1_KF203107|betalactams|Class_D_betalactamases|OXA	AGW16415.1 KF203107.1:1-825
NCBI	Bla|OXA-333_1_KF203107|betalactams|Class_D_betalactamases|OXA	gi|544207413|gb|KF203107.1|1-825
Resfinder	Bla|OXA-333_1_KF203107|betalactams|Class_D_betalactamases|OXA	blaOXA-333_1_KF203107
Lahey	gi|734665100|gb|KM589641.1|betalactams|Class_D_betalactamases|OXA	AJA30430.1 KM589641.1:1-786
NCBI	gi|734665100|gb|KM589641.1|betalactams|Class_D_betalactamases|OXA	gi|734665100|gb|KM589641.1|1-786
CARD	CARD|phgb|AJ012256|208-1069|ARO:3000943|TEM-77|betalactams|Class_A_betalactamases|TEM	@phgb|AJ012256|208-1069|ARO:3000943|TEM-77 [Proteus mirabilis]
NCBI	CARD|phgb|AJ012256|208-1069|ARO:3000943|TEM-77|betalactams|Class_A_betalactamases|TEM	gi|6688988|emb|AJ012256.1|209-1070
CARD	Amp|HM140977.1|gene1|Lipopeptides|Phosphotidylglycerol_lysyltransferase|MPRF|RequiresSNPConfirmation	@phgb|HM140977|0-2511|ARO:3000863|mprF [Staphylococcus aureus]
NCBI	Amp|HM140977.1|gene1|Lipopeptides|Phosphotidylglycerol_lysyltransferase|MPRF|RequiresSNPConfirmation	gi|300078708|gb|HM140975.1|1-2511
ARG-ANNOT	Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-9:AF174129:1-876:876;(Bla)CTX-M-13:AF252621:1-876:876
CARD	Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX	@phgb|AF174129|6335-7211|ARO:3001872|CTX-M-9 [Escherichia coli]
Lahey	Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX	AAF05311.2 AF174129.3:6336-7211
NCBI	Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|825088700|gb|KP975077.1|39408-38533 gi|516560780|gb|JX515588.1|200604-199729 gi|299483205|gb|HM569735.1|1115-1990 gi|130918109|gb|EF441350.1|132-1007 gi|695200454|ref|NG_036140.1|5317-6192 gi|695208190|ref|NG_035493.1|6336-7211 gi|695200140|ref|NG_035386.1|1-876 gi|71273537|emb|AM040708.1|5582-6457 gi|16304825|emb|AJ416345.1|132-1005
Resfinder	Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-9_1_AF174129
CARD	Bla|KJ020573.1|gene1|betalactams|Class_A_betalactamases|CTX	@phgb|KJ020573|274-1150|ARO:3002002|CTX-M-144 [Escherichia coli]
Lahey	Bla|KJ020573.1|gene1|betalactams|Class_A_betalactamases|CTX	AHX39588.1 KJ020573.1:275-1150
NCBI	Bla|KJ020573.1|gene1|betalactams|Class_A_betalactamases|CTX	gi|695228197|ref|NG_041750.1|275-1150
CARD	CARD|phgb|AM411407|0-876|ARO:3001921|CTX-M-60|betalactams|Class_A_betalactamases|CTX	@phgb|AM411407|0-876|ARO:3001921|CTX-M-60 [Klebsiella pneumoniae]
NCBI	CARD|phgb|AM411407|0-876|ARO:3001921|CTX-M-60|betalactams|Class_A_betalactamases|CTX	gi|121495528|emb|AM411407.1|1-877
ARG-ANNOT	Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-107:AY101764:207-1067:861
CARD	Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM	@phgb|AY101764|206-1067|ARO:3000970|TEM-107 [Klebsiella pneumoniae]
Lahey	Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM	AAM52215.1 AY101764.1:207-1067
NCBI	Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM	gi|21464495|gb|AY101764.1|207-1067
Resfinder	Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM	blaTEM-107_1_AY101764
ARG-ANNOT	Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-63:HQ650104:64-1209:1146
CARD	Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY	@phgb|HQ650104|63-1209|ARO:3002076|CMY-63 [Citrobacter freundii]
Lahey	Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY	AET07387.1 HQ650104.1:64-1209
NCBI	Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY	gi|356457901|gb|HQ650104.1|64-1209
Resfinder	Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-63_1_HQ650104
CARD	Bla|KC964871.1|gene1|betalactams|Class_A_betalactamases|CTX	@phgb|KC964871|0-876|ARO:3001999|CTX-M-141 [Klebsiella pneumoniae]
Lahey	Bla|KC964871.1|gene1|betalactams|Class_A_betalactamases|CTX	AGN11769.1 KC964871.1:1-876
NCBI	Bla|KC964871.1|gene1|betalactams|Class_A_betalactamases|CTX	gi|508128869|gb|KC964871.1|1-876
NCBI	MLS|NC_023287.1.18156494|MLS|Macrolide_resistance_efflux_pumps|MEFA	gi|568818634|gb|KF648874.1|66509-65292
ARG-ANNOT	Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-46:AY847147:82-957:876
CARD	Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX	@phgb|AY847147|81-957|ARO:3001908|CTX-M-46 [Klebsiella pneumoniae]
Lahey	Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX	AAV97956.1 AY847147.1:82-957
NCBI	Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX	gi|56554770|gb|AY847147.1|82-957
Resfinder	Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-46_1_AY847147
ARG-ANNOT	Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-79:JQ733576:1028-2173:1146
CARD	Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY	@phgb|JQ733576|1027-2173|ARO:3002092|CMY-79 [Citrobacter freundii]
Lahey	Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY	AFK73446.1 JQ733576.1:1028-2173
NCBI	Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY	gi|388564847|gb|JQ733576.1|1028-2173
Resfinder	Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-79_1_JQ733576
NCBI	Sul|CP000675.2|gene3019|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation	gi|295647398|gb|CP001828.1|3262184-3261309 gi|225791049|gb|CP000675.2|3326709-3325834
NCBI	ACou|NC_006582.1.320275|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|56908016|dbj|AP006627.1|2103263-2101293 gi|361052061|gb|CP003179.1|6624-6652 gi|339284117|gb|CP002901.1|6384-6412
CARD	Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV	@phgb|X98101|73-934|ARO:3001070|SHV-11 [Klebsiella pneumoniae]
Lahey	Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV	CAA66729.1 X98101.1:74-934
NCBI	Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV	gi|77702551|gb|DQ219476.1|1-861 gi|2113850|emb|X98101.1|74-934
Resfinder	Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV	blaSHV-11_13_DQ219476
NCBI	Flq|NC_009641.5331984|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|941146344|gb|CP007676.1|7014-9695 gi|941142962|gb|CP007672.1|7014-9695 gi|941139768|gb|CP007657.1|7014-9695 gi|899756207|gb|CP012119.1|1918669-1915988 gi|828461663|gb|CP007674.1|7014-9695 gi|828444881|gb|CP007670.1|7014-9695 gi|640834542|gb|CP007690.1|7014-9695 gi|610395799|gb|CP007539.1|6471-9152 gi|160367075|gb|CP000730.1|7014-9695 gi|150373012|dbj|AP009351.1|6994-9675
ARG-ANNOT	Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-41:AB429270:15-1160:1146
CARD	Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY	@phgb|AB429270|14-1160|ARO:3002052|CMY-41 [Citrobacter freundii]
Lahey	Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY	BAG14343.1 AB429270.1:15-1160
NCBI	Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY	gi|171362755|dbj|AB429270.1|15-1160
Resfinder	Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-41_1_AB429270
ARG-ANNOT	Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-208:FR853176:1-825:825
CARD	Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA	@phgb|FR853176|0-825|ARO:3001486|OXA-208 [Acinetobacter baumannii]
Lahey	Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA	CCA94644.1 FR853176.1:1-825
NCBI	Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA	gi|338221835|emb|FR853176.1|1-825
Resfinder	Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA	blaOXA-208_1_FR853176
Lahey	Bla|OXA-51_3_EU255296|betalactams|Class_D_betalactamases|OXA	ABX45066.1 EU255296.1:1-825
NCBI	Bla|OXA-51_3_EU255296|betalactams|Class_D_betalactamases|OXA	gi|160623397|gb|EU255296.1|1-825
Resfinder	Bla|OXA-51_3_EU255296|betalactams|Class_D_betalactamases|OXA	blaOXA-51_3_EU255296
CARD	CARD|phgb|AF132290|87-948|ARO:3001076|SHV-18|betalactams|Class_A_betalactamases|SHV	@phgb|AF132290|87-948|ARO:3001076|SHV-18 [Klebsiella pneumoniae]
NCBI	CARD|phgb|AF132290|87-948|ARO:3001076|SHV-18|betalactams|Class_A_betalactamases|SHV	gi|7595230|gb|AF132290.1|AF132290|88-949 gi|195976046|gb|EU684753.1|1-861 gi|14532426|gb|AY036620.1|53-88
NCBI	Met|nimB_1_X71443|Metronidazole|nim_nitroimidazole_reductase|NIMB	gi|435260|emb|X71443.1|794-1288
Resfinder	Met|nimB_1_X71443|Metronidazole|nim_nitroimidazole_reductase|NIMB	nimB_1_X71443
CARD	CARD|phgb|AM982520|5548-6424|ARO:3001937|CTX-M-76|betalactams|Class_A_betalactamases|CTX	@phgb|AM982520|5548-6424|ARO:3001937|CTX-M-76 [Kluyvera ascorbata]
NCBI	CARD|phgb|AM982520|5548-6424|ARO:3001937|CTX-M-76|betalactams|Class_A_betalactamases|CTX	gi|193227719|emb|AM982520.1|5549-6425
NCBI	Flq|NC_012491.1.7720231|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	gi|226092535|dbj|AP008955.1|3483238-3480695
CARD	CARD|phgb|AJ012256|208-1069|ARO:3000939|TEM-73|betalactams|Class_A_betalactamases|TEM	@phgb|AJ012256|208-1069|ARO:3000943|TEM-77 [Proteus mirabilis];@phgb|AJ012256|208-1069|ARO:3000939|TEM-73 [Proteus mirabilis]
NCBI	CARD|phgb|AJ012256|208-1069|ARO:3000939|TEM-73|betalactams|Class_A_betalactamases|TEM	gi|6688988|emb|AJ012256.1|209-1069
ARG-ANNOT	Bla|TEM-128|AY359287|186-1046|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-128:AY359287:186-1046:861
NCBI	Bla|TEM-128|AY359287|186-1046|861|betalactams|Class_A_betalactamases|TEM	gi|34099625|gb|AY359287.1|186-1046
Resfinder	Bla|TEM-128|AY359287|186-1046|861|betalactams|Class_A_betalactamases|TEM	blaTEM-128_1_AY359287
CARD	gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV	@phgb|AY277255|66-927|ARO:3001089|SHV-31 [Klebsiella pneumoniae]
Lahey	gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV	AAP33454.2 AY277255.2:67-927
NCBI	gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV	gi|54873595|gb|AY277255.2|67-927
Resfinder	gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV	blaSHV-31_2_AY277255
CARD	Bla|KF460531.1|gene1|betalactams|Class_D_betalactamases|OXA	@phgb|KF460531|0-831|ARO:3001548|OXA-361 [Acinetobacter lwoffii]
Lahey	Bla|KF460531.1|gene1|betalactams|Class_D_betalactamases|OXA	AHA11124.1 KF460531.1:1-831
NCBI	Bla|KF460531.1|gene1|betalactams|Class_D_betalactamases|OXA	gi|557477788|gb|KF460531.1|1-831
ARG-ANNOT	Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES	(Bla)GES-21:JQ772478:141-1004:864
CARD	Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES	@phgb|JQ772478|140-1004|ARO:3002350|GES-21 [uncultured bacterium]
Lahey	Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES	AFK80745.1 JQ772478.1:141-1004
NCBI	Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES	gi|388891772|gb|JQ772479.1|141-1004 gi|388891770|gb|JQ772478.1|141-1004
Resfinder	Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES	blaGES-21_1_JQ772478
NCBI	gi|6176541|gb|AF190692.1|betalactams|Class_A_betalactamases|TEM	gi|6176541|gb|AF190692.1|AF190692|1-1103
NCBI	Bla|OXA-56_1_EF437948|betalactams|Class_D_betalactamases|OXA	gi|126952402|gb|EF437948.1|1-794
ARG-ANNOT	Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-130:JX017365:245-1120:876
CARD	Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX	@phgb|JX017365|244-1120|ARO:3001989|CTX-M-130 [Escherichia coli]
Lahey	Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX	AFJ59957.1 JX017365.1:245-1120
NCBI	Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX	gi|387165738|gb|JX017365.1|245-1120
Resfinder	Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-130_1_JX017365
NCBI	Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	gi|260161304|emb|FN396364.1|3373-5292 gi|296182618|gb|CP002010.1|1457082-1457216
Resfinder	Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW	tet(W)_6_FN396364
CARD	Phe|FJ460181.2|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation	@phgb|FJ460181|1100-1733|ARO:3002680|catB8 [Aeromonas media]
NCBI	Phe|FJ460181.2|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation	gi|351214273|gb|FJ460181.2|1101-1733
ARG-ANNOT	Bla|LEN-2|AY037780|286-1125|861|betalactams|Class_A_betalactamases|LEN	(Bla)LEN-2:AY037780:286-1125:861
CARD	Bla|LEN-2|AY037780|286-1125|861|betalactams|Class_A_betalactamases|LEN	@phgb|AY037780|88-949|ARO:3002455|LEN-2 [Klebsiella pneumoniae]
NCBI	Bla|LEN-2|AY037780|286-1125|861|betalactams|Class_A_betalactamases|LEN	gi|15721854|gb|AY037780.1|89-949
Resfinder	Bla|LEN-2|AY037780|286-1125|861|betalactams|Class_A_betalactamases|LEN	blaLEN2_1_AY037780
NCBI	Bla|SHV-11_9_FJ483937|betalactams|Class_A_betalactamases|SHV	gi|695214134|ref|NG_036739.1|1-861 gi|77702553|gb|DQ219477.1|1-861 gi|695198780|ref|NG_035078.1|451-1311
Resfinder	Bla|SHV-11_9_FJ483937|betalactams|Class_A_betalactamases|SHV	blaSHV-11_9_FJ483937
NCBI	Bla|CMY-60_1_HQ267531|betalactams|Class_C_betalactamases|CMY	gi|629511207|gb|KJ496347.1|160-1305 gi|326328196|gb|HQ267531.1|1-1146
Resfinder	Bla|CMY-60_1_HQ267531|betalactams|Class_C_betalactamases|CMY	blaCMY-60_1_HQ267531
CARD	gi|597709739|emb|HG934764.1|betalactams|Class_A_betalactamases|SHV	@phgb|HG934764|0-864|ARO:3001351|SHV-183 [Enterobacter cloacae]
Lahey	gi|597709739|emb|HG934764.1|betalactams|Class_A_betalactamases|SHV	CDN33427.1 HG934764.1:1-864
NCBI	gi|597709739|emb|HG934764.1|betalactams|Class_A_betalactamases|SHV	gi|597709739|emb|HG934764.1|1-864
ARG-ANNOT	gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-134:HM559945:1-861:861
CARD	gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV	@phgb|HM559945|0-861|ARO:3001178|SHV-134 [Klebsiella pneumoniae]
Lahey	gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV	ADM25824.1 HM559945.1:1-861
NCBI	gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV	gi|304359285|gb|HM559945.1|1-861
Resfinder	gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV	blaSHV-134_1_HM559945
CARD	Phe|X60827.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA	@phgb|X60827|87-735|ARO:3002670|cat [Staphylococcus aureus]
NCBI	Phe|X60827.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA	gi|695196531|ref|NG_034444.1|88-735
ARG-ANNOT	AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	(AGly)Aac6-Iaf:AB462903:1200-1751:552
CARD	AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	@phgb|AB462903|1199-1751|ARO:3002574|AAC(6')-Iaf [Pseudomonas aeruginosa]
NCBI	AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|238773819|dbj|AB462903.1|1200-1751
Resfinder	AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')-Iaf_1_AB462903
ARG-ANNOT	Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-12:AY293073:1-876:876
CARD	Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX	@phgb|AF305837|0-876|ARO:3001875|CTX-M-12 [Klebsiella pneumoniae]
Lahey	Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX	AAG34108.1 AF305837.1:1-876
NCBI	Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|116257450|gb|DQ821704.2|1784-2659 gi|695211887|ref|NG_036283.1|1705-2580 gi|47087855|gb|AY571969.1|10-885 gi|31096325|gb|AY293073.1|1-876 gi|11321257|gb|AF305837.1|AF305837|1-876
Resfinder	Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-12_1_DQ821704
